import time: self [us] | cumulative | imported package
import time:      2056 |       2056 |                                       asyncio.mixins
import time:       457 |       2513 |                                     asyncio.locks
import time:       346 |        346 |                                       asyncio.queues
import time:       421 |        421 |                                       asyncio.timeouts
import time:       503 |       1269 |                                     asyncio.tasks
import time:       297 |       4079 |                                   asyncio.staggered
import time:       317 |        317 |                                   asyncio.trsock
import time:       937 |      16000 |                                 asyncio.base_events
import time:       629 |        629 |                                 asyncio.runners
import time:       575 |        575 |                                 asyncio.streams
import time:       813 |        813 |                                 asyncio.subprocess
import time:       800 |        800 |                                 asyncio.taskgroups
import time:       644 |        644 |                                 asyncio.threads
import time:       308 |        308 |                                   asyncio.base_subprocess
import time:       543 |        543 |                                   asyncio.selector_events
import time:       837 |       1687 |                                 asyncio.unix_events
import time:       366 |      21511 |                               asyncio
import time:       212 |      21722 |                             tqdm.asyncio
import time:       320 |      32759 |                           tqdm.auto
import time:       478 |        478 |                           huggingface_hub.constants
import time:       544 |      33780 |                         huggingface_hub.utils.tqdm
import time:      1595 |       1595 |                           configparser
import time:      7027 |       7027 |                           huggingface_hub.utils._runtime
import time:       313 |       8933 |                         huggingface_hub.utils._auth
import time:       361 |        361 |                         huggingface_hub.utils._cache_assets
import time:       293 |        293 |                           huggingface_hub.utils.logging
import time:       665 |        665 |                           huggingface_hub.utils._parsing
import time:       260 |        260 |                             huggingface_hub.utils._detect_agent
import time:       162 |        421 |                           huggingface_hub.utils._terminal
import time:      2218 |       3595 |                         huggingface_hub.utils._cache_manager
import time:       205 |        205 |                         huggingface_hub.utils._chunk_utils
import time:       265 |        265 |                         huggingface_hub.utils._datetime
import time:       618 |        618 |                         huggingface_hub.utils._experimental
import time:       327 |        327 |                             yaml.error
import time:       441 |        441 |                             yaml.tokens
import time:       368 |        368 |                             yaml.events
import time:       241 |        241 |                             yaml.nodes
import time:      3554 |       3554 |                               yaml.reader
import time:       511 |        511 |                               yaml.scanner
import time:       468 |        468 |                               yaml.parser
import time:       320 |        320 |                               yaml.composer
import time:       821 |        821 |                               yaml.constructor
import time:      1230 |       1230 |                               yaml.resolver
import time:       462 |       7363 |                             yaml.loader
import time:       628 |        628 |                               yaml.emitter
import time:       398 |        398 |                               yaml.serializer
import time:       376 |        376 |                               yaml.representer
import time:       274 |       1674 |                             yaml.dumper
import time:      1043 |       1043 |                               yaml._yaml
import time:       361 |       1404 |                             yaml.cyaml
import time:       440 |      12254 |                           yaml
import time:       286 |        286 |                               filelock._error
import time:      1053 |       1338 |                             filelock._api
import time:       833 |        833 |                                   _queue
import time:       350 |       1182 |                                 queue
import time:       341 |       1523 |                               concurrent.futures.thread
import time:      1659 |       1659 |                                     _sqlite3
import time:       473 |       2131 |                                   sqlite3.dbapi2
import time:       226 |       2357 |                                 sqlite3
import time:       342 |       2699 |                               filelock._read_write
import time:       247 |       4468 |                             filelock._async_read_write
import time:       211 |        211 |                               filelock._util
import time:       283 |        493 |                             filelock._soft
import time:       374 |        374 |                                   hmac
import time:       358 |        358 |                                   secrets
import time:      1955 |       2686 |                                 filelock._soft_rw._sync
import time:       387 |       3073 |                               filelock._soft_rw._async
import time:       197 |       3269 |                             filelock._soft_rw
import time:       417 |        417 |                             filelock._unix
import time:       223 |        223 |                             filelock._windows
import time:      1309 |       1309 |                             filelock.asyncio
import time:       123 |        123 |                             filelock.version
import time:       289 |      11926 |                           filelock
import time:       283 |      24463 |                         huggingface_hub.utils._fixes
import time:       220 |        220 |                           huggingface_hub.utils._subprocess
import time:       392 |        611 |                         huggingface_hub.utils._git_credential
import time:       128 |        128 |                             huggingface_hub.utils._typing
import time:       348 |        475 |                           huggingface_hub.utils._validators
import time:       737 |       1211 |                         huggingface_hub.utils._headers
import time:      1277 |       1277 |                         huggingface_hub.utils._hf_uris
import time:       406 |        406 |                           shlex
